"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.10","51.78","OLDS","3024920","2010-01-01","2010","01","01","†","","","","M","","","","","","","","","","","","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-02","2010","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-03","2010","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-04","2010","01","04","†","-11.0","","-12.5","","-11.8","","29.8","","0.0","","0.0","","8.4","","8.4","","28","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-05","2010","01","05","†","-12.5","","-15.0","","-13.8","","31.8","","0.0","","0.0","","1.0","","1.0","","35","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-06","2010","01","06","†","-14.5","","-23.5","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-07","2010","01","07","†","-3.0","","-29.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-08","2010","01","08","†","","M","-26.5","","","M","","M","","M","","M","","M","","M","32","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-09","2010","01","09","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-10","2010","01","10","†","9.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-11","2010","01","11","†","9.0","","-4.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-12","2010","01","12","†","9.0","","5.0","","7.0","","11.0","","0.0","","0.0","T","0.0","","0.0","T","23","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-13","2010","01","13","†","7.5","","0.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-14","2010","01","14","†","8.0","","-2.5","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-15","2010","01","15","†","","M","0.0","","","M","","M","","M","","M","","M","","M","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-16","2010","01","16","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-17","2010","01","17","†","7.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-18","2010","01","18","†","8.0","","-11.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-19","2010","01","19","†","5.5","","-6.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-20","2010","01","20","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-21","2010","01","21","†","-5.0","","-7.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-22","2010","01","22","†","","M","-9.5","","","M","","M","","M","","M","","M","","M","20","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-23","2010","01","23","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-24","2010","01","24","†","-7.0","","","M","","M","","M","","M","0.0","","0.8","","0.8","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-25","2010","01","25","†","-12.5","","-16.5","","-14.5","","32.5","","0.0","","0.0","","1.0","","1.0","","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-26","2010","01","26","†","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-27","2010","01","27","†","","M","-17.5","","","M","","M","","M","","M","","M","","M","23","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-28","2010","01","28","†","-1.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-29","2010","01","29","†","","M","-19.5","","","M","","M","","M","","M","","M","","M","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-30","2010","01","30","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-01-31","2010","01","31","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-01","2010","02","01","†","-1.0","","","M","","M","","M","","M","0.0","","0.2","","0.2","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-02","2010","02","02","†","-4.0","","-12.5","","-8.3","","26.3","","0.0","","0.0","","0.2","","0.2","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-03","2010","02","03","†","-6.5","","-8.0","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-04","2010","02","04","†","-7.5","","-10.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-05","2010","02","05","†","","M","-18.0","","","M","","M","","M","","M","","M","","M","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-06","2010","02","06","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-07","2010","02","07","†","-7.5","","","M","","M","","M","","M","0.0","","0.8","","0.8","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-08","2010","02","08","†","-5.5","","-19.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-09","2010","02","09","†","1.5","","-15.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-10","2010","02","10","†","1.5","","-11.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-11","2010","02","11","†","0.5","","-11.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-12","2010","02","12","†","1.5","","-10.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-13","2010","02","13","†","","M","-11.5","","","M","","M","","M","","M","","M","","M","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-14","2010","02","14","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-15","2010","02","15","†","","","","M","","","","","","","","","","","","","0","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-16","2010","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-17","2010","02","17","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-18","2010","02","18","†","2.0","","-3.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-19","2010","02","19","†","","M","-9.0","","","M","","M","","M","","M","","M","","M","19","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-20","2010","02","20","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-21","2010","02","21","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-22","2010","02","22","†","5.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-23","2010","02","23","†","0.0","","-16.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-24","2010","02","24","†","3.5","","-13.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-25","2010","02","25","†","9.0","","-6.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-26","2010","02","26","†","","","-7.0","","","","","","","","","","","","","","22","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-27","2010","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-114.10","51.78","OLDS","3024920","2010-02-28","2010","02","28","†","7.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-01","2010","03","01","†","7.0","","-6.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-02","2010","03","02","†","","","-6.0","","","","","","","","","","","","","","15","","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-03","2010","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-04","2010","03","04","†","6.5","","-1.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-05","2010","03","05","†","","M","-3.5","","","M","","M","","M","","M","","M","","M","16","","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-06","2010","03","06","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-114.10","51.78","OLDS","3024920","2010-03-07","2010","03","07","†","9.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
